id_empresa;Simbolo;Empresa;Industria;Sub_Industria;Localizacion;Incorp_SP500;Fundacion;Cant_Empleos;Facturac_Usd_ 2022;Costo_Op_Usd_2022;Gcia_Bruta_Usd_2022;Deuda_Usd_ 2022;Valor_de_Mercado
1;A;Agilent Technologies;Health Care;Health Care Equipment;California;5/6/2000;1999;18.300;6.993.999.872;3.271.999.872;3.722.000.000;2.967.000.064;32.286.976.000
2;AAL;American Airlines Group;Industrials;Passenger Airlines;Texas;23/3/2015;1934;132.500;52.893.999.104;41.450.999.104;11.443.000.000;42.582.999.040;8.395.701.760
3;AAPL;Apple Inc.;Information Technology;Technology Hardware, Storage & Peripherals;California;30/11/1982;1977;164.000;383.932.989.440;213.150.989.440;170.782.000.000;109.280.002.048;2.734.577.942.528
4;ABBV;AbbVie;Health Care;Pharmaceuticals;Illinois;31/12/2012;1888;50.000;56.022.999.040;14.495.999.040;41.527.000.000;61.392.998.400;260.256.612.352
5;ABNB;Airbnb;Consumer Discretionary;Hotels, Resorts & Cruise Lines;California;18/9/2023;2008;6.811;9.088.000.000;2.188.000.000;6.900.000.000;2.324.000.000;79.754.117.120
6;ABT;Abbott;Health Care;Health Care Equipment;Illinois;4/3/1957;1888;115.000;40.226.000.896;15.647.000.896;24.579.000.000;16.988.000.256;166.941.622.272
7;ACGL;Arch Capital Group;Financials;Reinsurance;Bermuda;1/11/2022;1995;5.800;11.788.808.192;8.941.097.192;2.847.711.000;2.726.000.128;30.447.962.112
8;ACN;Accenture;Information Technology;IT Consulting & Other Services;Ireland;6/7/2011;1989;733.000;64.111.742.976;43.380.135.976;20.731.607.000;3.149.033.984;194.933.440.512
9;ADBE;Adobe Inc.;Information Technology;Application Software;California;5/5/1997;1982;29.239;18.886.000.640;3.445.000.640;15.441.000.000;4.096.000.000;235.135.139.840
10;ADI;Analog Devices;Information Technology;Semiconductors;Massachusetts;12/10/1999;1965;24.450;12.836.770.816;5.032.900.816;7.803.870.000;7.027.979.776;85.759.836.160
11;ADM;ADM;Consumer Staples;Agricultural Products & Services;Illinois;4/3/1957;1902;40.360;99.883.999.232;92.313.999.232;7.570.000.000;9.825.000.448;39.205.138.432
12;ADP;ADP;Industrials;Human Resource & Employment Services;New Jersey;31/3/1981;1949;63.000;18.012.200.960;9.502.200.960;8.510.000.000;3.540.999.936;100.257.505.280
13;ADSK;Autodesk;Information Technology;Application Software;California;1/12/1989;1982;13.700;5.212.000.256;629.000.256;4.583.000.000;2.664.999.936;43.599.306.752
14;AEE;Ameren;Utilities;Multi-Utilities;Missouri;19/9/1991;1902;9.244;7.888.999.936;4.545.999.936;3.343.000.000;16.007.000.064;19.246.438.400
15;AEP;American Electric Power;Utilities;Electric Utilities;Ohio;4/3/1957;1906;16.974;19.470.600.192;11.056.500.192;8.414.100.000;44.660.101.120;36.747.505.664
16;AES;AES Corporation;Utilities;Independent Power Producers & Energy Traders;Virginia;2/10/1998;1981;9.100;12.952.999.936;10.404.999.936;2.548.000.000;26.542.999.552;8.444.021.248
17;AFL;Aflac;Financials;Life & Health Insurance;Atlanta;28/5/1999;1955;12.882;18.986.000.384;10.906.000.384;8.080.000.000;12.357.000.192;45.410.103.296
18;AIG;American International Group;Financials;Property & Casualty Insurance;New York;31/3/1980;1919;26.200;51.549.999.104;26.581.999.104;24.968.000.000;24.145.000.448;42.820.788.224
19;AIZ;Assurant;Financials;Multi-line Insurance;New York;10/4/2007;1892;13.700;10.574.999.552;9.860.599.552;714.400.000;2.129.400.064;7.740.784.128
20;AJG;Arthur J. Gallagher & Co.;Financials;Insurance Brokers;Illinois;31/5/2016;1927;45.641;8.836.299.776;5.192.399.776;3.643.900.000;7.466.100.224;49.471.557.632
21;AKAM;Akamai;Information Technology;Internet Services & Infrastructure;Massachusetts;12/7/2007;1998;9.800;3.661.093.888;1.423.276.888;2.237.817.000;3.283.006.976;16.029.995.008
22;ALB;Albemarle Corporation;Materials;Specialty Chemicals;North Carolina;1/7/2016;1994;7.400;9.663.224.832;6.585.437.832;3.077.787.000;3.663.938.048;18.192.306.176
23;ALGN;Align Technology;Health Care;Health Care Supplies;Arizona;19/6/2017;1997;22.910;3.737.182.976;1.100.507.976;2.636.675.000;133.420.000;21.442.828.288
24;ALK;Alaska Air Group;Industrials;Passenger Airlines;Washington;13/5/2016;1985;23.140;10.341.000.192;7.984.000.192;2.357.000.000;3.886.000.128;4.539.352.576
25;ALL;Allstate;Financials;Property & Casualty Insurance;Illinois;13/7/1995;1931;54.000;54.621.999.104;48.178.999.104;6.443.000.000;7.951.000.064;29.393.070.080
26;ALLE;Allegion;Industrials;Building Products;New York;2/12/2013;1908;12.300;3.610.700.032;2.288.300.032;1.322.400.000;2.207.200.000;9.019.395.072
27;AMAT;Applied Materials;Information Technology;Semiconductor Materials & Equipment;California;16/3/1995;1967;34.500;26.542.999.552;14.549.999.552;11.993.000.000;6.098.999.808;116.512.456.704
28;AMCR;Amcor;Materials;Paper & Plastic Packaging Products & Materials;United Kingdom;7/6/2019;1860;41.000;14.693.999.616;11.968.999.616;2.725.000.000;7.406.000.128;12.916.709.376
29;AMD;AMD;Information Technology;Semiconductors;California;20/3/2017;1969;25.000;21.876.000.768;9.825.000.768;12.051.000.000;2.860.000.000;166.268.600.320
30;AME;Ametek;Industrials;Electrical Components & Equipment;Pennsylvania;23/9/2013;1930;19.600;6.420.681.216;4.275.412.216;2.145.269.000;2.367.415.040;34.239.969.280
31;AMGN;Amgen;Health Care;Biotechnology;California;2/1/1992;1980;25.200;26.581.999.616;6.664.999.616;19.917.000.000;61.544.001.536;141.791.543.296
32;AMP;Ameriprise Financial;Financials;Asset Management & Custody Banks;Minnesota;3/10/2005;1894;13.500;15.082.999.808;7.238.999.808;7.844.000.000;4.132.999.936;33.077.385.216
33;AMT;American Tower;Real Estate;Telecom Tower REITs;Massachusetts;19/11/2007;1995;6.391;10.915.399.680;3.468.099.680;7.447.300.000;47.176.499.200;73.983.623.168
34;AMZN;Amazon;Consumer Discretionary;Broadline Retail;Washington;18/11/2005;1994;1.541.000;538.046.005.248;312.894.005.248;225.152.000.000;174.285.996.032;1.299.630.129.152
35;ANET;Arista Networks;Information Technology;Communications Equipment;California;28/8/2018;2004;3.612;5.262.627.840;2.586.931.840;2.675.696.000;51.702.000;58.210.512.896
36;ANSS;Ansys;Information Technology;Application Software;Pennsylvania;19/6/2017;1969;6.000;2.172.672.000;288.388.000;1.884.284.000;882.257.024;25.185.042.432
37;AON;Aon;Financials;Insurance Brokers;United Kingdom;23/4/1996;1919;50.000;12.874.000.384;7.051.000.384;5.823.000.000;12.204.999.680;66.104.217.600
38;AOS;A. O. Smith;Industrials;Building Products;Wisconsin;26/7/2017;1916;12.000;3.737.499.904;2.407.899.904;1.329.600.000;240.900.000;9.942.940.672
39;APA;APA Corporation;Energy;Oil & Gas Exploration & Production;Texas;28/7/1997;1954;2.273;7.872.999.936;236.999.936;7.636.000.000;5.678.000.128;11.593.108.480
40;APD;Air Products and Chemicals;Materials;Industrial Gases;Pennsylvania;30/4/1985;1940;19.710;12.978.700.288;9.618.600.288;3.360.100.000;10.110.199.808;62.170.611.712
41;APH;Amphenol;Information Technology;Electronic Components;Connecticut;30/9/2008;1932;91.000;12.562.400.256;8.534.200.256;4.028.200.000;4.319.200.256;49.290.960.896
42;APTV;Aptiv;Consumer Discretionary;Automotive Parts & Equipment;Ireland;24/12/2012;1994;160.000;19.271.999.488;16.625.999.488;2.646.000.000;7.001.999.872;26.602.424.320
43;ARE;Alexandria Real Estate Equities;Real Estate;Office REITs;California;20/3/2017;1994;593;2.745.414.912;938.960.912;1.806.454.000;11.569.907.712;16.956.743.680
