Date;Open;High;Low;Close;Adj Close;Volume
3/1/2022;605,61;609,99;590,56;597,37;597,37;3.067.500
4/1/2022;599,91;600,41;581,60;591,15;591,15;4.393.100
5/1/2022;592,00;592,84;566,88;567,52;567,52;4.148.700
6/1/2022;554,34;563,36;542,01;553,29;553,29;5.711.800
7/1/2022;549,46;553,43;538,22;541,06;541,06;3.382.900
10/1/2022;538,49;543,69;526,32;539,85;539,85;4.486.100
11/1/2022;536,99;543,91;530,07;540,84;540,84;3.077.800
12/1/2022;544,27;544,27;532,02;537,22;537,22;3.787.400
13/1/2022;537,06;540,79;518,26;519,20;519,20;4.475.100
14/1/2022;517,60;538,37;511,88;525,69;525,69;7.861.100
18/1/2022;520,08;521,75;508,68;510,80;510,80;4.839.100
19/1/2022;515,00;523,21;510,51;515,86;515,86;4.353.500
20/1/2022;517,75;526,64;506,93;508,25;508,25;12.659.000
21/1/2022;400,43;409,15;379,99;397,50;397,50;58.904.300
24/1/2022;383,91;387,26;351,46;387,15;387,15;32.346.000
25/1/2022;379,14;387,71;365,13;366,42;366,42;15.145.800
26/1/2022;378,27;382,66;356,62;359,70;359,70;12.684.000
27/1/2022;382,06;394,80;378,10;386,70;386,70;24.324.700
28/1/2022;386,76;387,00;372,08;384,36;384,36;11.966.600
31/1/2022;401,97;427,70;398,20;427,14;427,14;20.047.500
1/2/2022;432,96;458,48;425,54;457,13;457,13;22.568.100
2/2/2022;448,25;451,98;426,48;429,48;429,48;14.346.000
3/2/2022;421,44;429,26;404,28;405,60;405,60;9.905.200
4/2/2022;407,31;412,77;396,64;410,17;410,17;7.789.800
7/2/2022;410,17;412,35;393,55;402,10;402,10;8.232.900
8/2/2022;398,18;406,61;395,83;403,53;403,53;6.818.500
9/2/2022;408,65;412,98;398,79;412,89;412,89;7.738.200
10/2/2022;402,10;408,00;396,36;406,27;406,27;8.452.900
11/2/2022;405,33;411,61;387,65;391,31;391,31;7.558.900
14/2/2022;387,59;409,36;386,89;396,57;396,57;7.202.200
15/2/2022;403,79;409,16;401,01;407,46;407,46;5.392.300
16/2/2022;401,53;401,56;390,38;398,08;398,08;5.277.700
17/2/2022;394,24;399,11;385,70;386,67;386,67;4.669.200
18/2/2022;392,53;402,87;389,05;391,29;391,29;6.801.700
22/2/2022;388,95;392,42;373,02;377,38;377,38;6.697.500
23/2/2022;382,72;386,00;366,66;367,46;367,46;4.614.300
24/2/2022;355,09;390,73;354,72;390,03;390,03;7.068.700
