Fecha ;Apertura;Mayor;Menor;Cierre;Cierre Aj; Volumen 
3/1/2023;3853,29;3878,46;3794,33;382,41;3824,14; 3.959.140.000 
4/1/2023;3840,36;3873,16;3815,77;385,30;3852,97; 4.414.080.000 
5/1/2023;3839,74;3839,74;3802,42;380,81;3808,10; 3.893.450.000 
6/1/2023;3823,37;3906,19;3809,56;389,51;3895,08; 3.923.560.000 
9/1/2023;3910,82;3950,57;3890,42;389,21;3892,09; 4.311.770.000 
10/1/2023;3888,57;3919,83;3877,29;391,93;3919,25; 3.851.030.000 
11/1/2023;3932,35;3970,07;3928,54;396,96;3969,61; 4.303.360.000 
12/1/2023;3977,57;3997,76;3937,56;398,32;3983,17; 4.440.260.000 
13/1/2023;3960,60;4003,95;3947,67;399,91;3999,09; 3.939.700.000 
17/1/2023;3999,28;4015,39;3984,57;399,10;3990,97; 4.235.560.000 
18/1/2023;4002,25;4014,16;3926,59;392,89;3928,86; 4.298.710.000 
19/1/2023;3911,84;3922,94;3885,54;389,89;3898,85; 3.991.500.000 
20/1/2023;3909,04;3972,96;3897,86;397,26;3972,61; 4.013.360.000 
23/1/2023;3978,14;4039,31;3971,64;401,98;4019,81; 3.945.210.000 
24/1/2023;4001,74;4023,92;3989,79;401,69;4016,95; 3.320.430.000 
25/1/2023;3982,71;4019,55;3949,06;401,62;4016,22; 3.724.020.000 
26/1/2023;4036,08;4061,57;4013,29;406,04;4060,43; 3.809.590.000 
27/1/2023;4053,72;4094,21;4048,70;407,06;4070,56; 3.907.760.000 
30/1/2023;4049,27;4063,85;4015,55;401,78;4017,77; 3.802.000.000 
31/1/2023;4020,85;4077,16;4020,44;407,66;4076,60; 4.679.320.000 
1/2/2023;4070,07;4148,95;4037,20;411,92;4119,21; 4.856.930.000 
2/2/2023;4158,68;4195,44;4141,88;417,98;4179,76; 5.624.360.000 
3/2/2023;4136,69;4182,36;4123,36;413,65;4136,48; 4.694.510.000 
6/2/2023;4119,57;4124,63;4093,38;411,11;4111,08; 4.114.240.000 
7/2/2023;4105,35;4176,54;4088,39;416,40;4164,00; 4.355.860.000 
8/2/2023;4153,47;4156,85;4111,67;411,79;4117,86; 4.029.820.000 
9/2/2023;4144,25;4156,23;4069,67;408,15;4081,50; 4.270.200.000 
10/2/2023;4068,92;4094,36;4060,79;409,05;4090,46; 3.891.520.000 
13/2/2023;4096,62;4138,90;4092,67;413,73;4137,29; 3.448.620.000 
14/2/2023;4126,70;4159,77;4095,01;413,61;4136,13; 3.929.200.000 
15/2/2023;4119,50;4148,11;4103,98;414,76;4147,60; 4.075.980.000 
16/2/2023;4114,75;4136,54;4089,49;409,04;4090,41; 4.143.660.000 
17/2/2023;4077,39;4081,51;4047,95;407,91;4079,09; 4.045.480.000 
21/2/2023;4052,35;4052,35;3995,19;399,73;3997,34; 4.121.590.000 
22/2/2023;4001,83;4017,37;3976,90;399,11;3991,05; 4.079.320.000 
23/2/2023;4018,60;4028,30;3969,19;401,23;4012,32; 3.952.940.000 
24/2/2023;3973,24;3978,25;3943,08;397,00;3970,04; 3.877.700.000 
27/2/2023;3992,36;4018,05;3973,55;398,22;3982,24; 3.836.950.000 
28/2/2023;3977,19;3997,50;3968,98;397,01;3970,15; 5.043.400.000 
1/3/2023;3963,34;3971,73;3939,05;395,14;3951,39; 4.249.480.000 
2/3/2023;3938,68;3990,84;3928,16;398,14;3981,35; 4.244.900.000 
3/3/2023;3998,02;4048,29;3995,17;404,56;4045,64; 4.084.730.000 
6/3/2023;4055,15;4078,49;4044,61;404,84;4048,42; 4.000.870.000 
7/3/2023;4048,26;4050,00;3980,31;398,64;3986,37; 3.922.500.000 
8/3/2023;3987,55;4000,41;3969,76;399,20;3992,01; 3.535.570.000 
9/3/2023;3998,66;4017,81;3908,70;391,83;3918,32; 4.445.260.000 
10/3/2023;3912,77;3934,05;3846,32;386,16;3861,59; 5.518.190.000 
13/3/2023;3835,12;3905,05;3808,86;385,58;3855,76; 6.558.020.000 
14/3/2023;3894,01;3937,29;3873,63;391,93;3919,29; 5.665.870.000 
15/3/2023;3876,74;3894,26;3838,24;389,19;3891,93; 6.594.010.000 
16/3/2023;3878,93;3964,46;3864,11;396,03;3960,28; 5.695.790.000 
17/3/2023;3958,69;3958,91;3901,27;391,66;3916,64; 9.354.280.000 
20/3/2023;3917,47;3956,62;3916,89;395,16;3951,57; 5.347.140.000 
